ngay,ma_ngoai_te,ten_ngoai_te,mua_tien_mat,mua_chuyen_khoan,ban
2020-02-01,AUD,AUSTRALIAN DOLLAR,15283.98,15438.36,15763.8
2020-02-02,AUD,AUSTRALIAN DOLLAR,15283.98,15438.36,15763.8
2020-02-03,AUD,AUSTRALIAN DOLLAR,15255.84,15409.94,15738.15
2020-02-04,AUD,AUSTRALIAN DOLLAR,15299.91,15454.45,15780.24
2020-02-05,AUD,AUSTRALIAN DOLLAR,15320.86,15475.62,15801.86
2020-02-06,AUD,AUSTRALIAN DOLLAR,15359.53,15514.68,15841.74
2020-02-07,AUD,AUSTRALIAN DOLLAR,15286.5,15440.91,15766.41
2020-02-08,AUD,AUSTRALIAN DOLLAR,15286.5,15440.91,15766.41
2020-02-09,AUD,AUSTRALIAN DOLLAR,15286.5,15440.91,15766.41
2020-02-10,AUD,AUSTRALIAN DOLLAR,15265.23,15419.42,15744.46
2020-02-11,AUD,AUSTRALIAN DOLLAR,15290.55,15445.0,15770.58
2020-02-12,AUD,AUSTRALIAN DOLLAR,15322.68,15477.45,15803.72
2020-02-13,AUD,AUSTRALIAN DOLLAR,15307.99,15462.62,15788.59
2020-02-14,AUD,AUSTRALIAN DOLLAR,15316.86,15471.58,15797.73
2020-02-15,AUD,AUSTRALIAN DOLLAR,15316.86,15471.58,15797.73
2020-02-16,AUD,AUSTRALIAN DOLLAR,15316.86,15471.58,15797.73
2020-02-17,AUD,AUSTRALIAN DOLLAR,15303.45,15458.03,15783.89
2020-02-18,AUD,AUSTRALIAN DOLLAR,15223.77,15377.55,15701.72
2020-02-19,AUD,AUSTRALIAN DOLLAR,15233.88,15387.76,15712.14
2020-02-20,AUD,AUSTRALIAN DOLLAR,15108.66,15261.27,15582.99
2020-02-21,AUD,AUSTRALIAN DOLLAR,15036.76,15188.65,15508.83
2020-02-22,AUD,AUSTRALIAN DOLLAR,15036.76,15188.65,15508.83
2020-02-23,AUD,AUSTRALIAN DOLLAR,15036.76,15188.65,15508.83
2020-02-24,AUD,AUSTRALIAN DOLLAR,15036.61,15188.49,15508.65
2020-02-25,AUD,AUSTRALIAN DOLLAR,15070.57,15222.8,15543.7
2020-02-26,AUD,AUSTRALIAN DOLLAR,15034.49,15186.35,15506.48
2020-02-27,AUD,AUSTRALIAN DOLLAR,14917.41,15068.09,15385.73
2020-02-28,AUD,AUSTRALIAN DOLLAR,14880.99,15031.3,15348.16
2020-02-29,AUD,AUSTRALIAN DOLLAR,14880.99,15031.3,15348.16
2020-03-01,AUD,AUSTRALIAN DOLLAR,14880.99,15031.3,15348.16
2020-03-02,AUD,AUSTRALIAN DOLLAR,14812.68,14962.3,15277.71
2020-03-03,AUD,AUSTRALIAN DOLLAR,14920.09,15070.8,15388.51
2020-03-04,AUD,AUSTRALIAN DOLLAR,15010.53,15162.15,15481.78
2020-03-05,AUD,AUSTRALIAN DOLLAR,15071.93,15224.17,15545.12
2020-03-06,AUD,AUSTRALIAN DOLLAR,15037.19,15189.08,15509.29
2020-03-07,AUD,AUSTRALIAN DOLLAR,15037.19,15189.08,15509.29
2020-03-08,AUD,AUSTRALIAN DOLLAR,15037.19,15189.08,15509.29
2020-03-09,AUD,AUSTRALIAN DOLLAR,14804.12,14953.66,15422.41
2020-03-10,AUD,AUSTRALIAN DOLLAR,14842.15,14992.07,15462.01
2020-03-11,AUD,AUSTRALIAN DOLLAR,14716.96,14865.62,15331.6
2020-03-12,AUD,AUSTRALIAN DOLLAR,14555.58,14702.61,15163.47
2020-03-13,AUD,AUSTRALIAN DOLLAR,14231.77,14375.53,14826.13
2020-03-14,AUD,AUSTRALIAN DOLLAR,14231.77,14375.53,14826.13
2020-03-15,AUD,AUSTRALIAN DOLLAR,14231.77,14375.53,14826.13
2020-03-16,AUD,AUSTRALIAN DOLLAR,13904.25,14044.7,14484.91
2020-03-17,AUD,AUSTRALIAN DOLLAR,13855.84,13995.8,14434.48
2020-03-18,AUD,AUSTRALIAN DOLLAR,13565.43,13702.45,14131.91
2020-03-19,AUD,AUSTRALIAN DOLLAR,12895.61,13025.87,13569.12
2020-03-20,AUD,AUSTRALIAN DOLLAR,12895.61,13025.87,13569.12
2020-03-21,AUD,AUSTRALIAN DOLLAR,13590.31,13727.59,14306.19
2020-03-22,AUD,AUSTRALIAN DOLLAR,13590.31,13727.59,14306.19
2020-03-23,AUD,AUSTRALIAN DOLLAR,13252.89,13386.76,13944.93
2020-03-24,AUD,AUSTRALIAN DOLLAR,13602.74,13740.14,14313.11
2020-03-25,AUD,AUSTRALIAN DOLLAR,13933.0,14073.74,14427.84
2020-03-26,AUD,AUSTRALIAN DOLLAR,13773.02,13912.14,14262.15
2020-03-27,AUD,AUSTRALIAN DOLLAR,14040.79,14182.62,14542.52
2020-03-28,AUD,AUSTRALIAN DOLLAR,14040.79,14182.62,14542.52
2020-03-29,AUD,AUSTRALIAN DOLLAR,14040.79,14182.62,14542.52
2020-03-30,AUD,AUSTRALIAN DOLLAR,14179.81,14323.04,14683.39
2020-03-31,AUD,AUSTRALIAN DOLLAR,14268.3,14412.42,14775.05
2020-04-01,AUD,AUSTRALIAN DOLLAR,13996.25,14137.63,14493.35
2020-04-02,AUD,AUSTRALIAN DOLLAR,13996.25,14137.63,14493.35
2020-04-03,AUD,AUSTRALIAN DOLLAR,13751.42,13890.32,14245.96
2020-04-04,AUD,AUSTRALIAN DOLLAR,13751.42,13890.32,14245.96
2020-04-05,AUD,AUSTRALIAN DOLLAR,13751.42,13890.32,14245.96
2020-04-06,AUD,AUSTRALIAN DOLLAR,13842.75,13982.58,14334.44
2020-04-07,AUD,AUSTRALIAN DOLLAR,14129.69,14272.41,14719.64
2020-04-08,AUD,AUSTRALIAN DOLLAR,14085.6,14227.88,14673.68
2020-04-09,AUD,AUSTRALIAN DOLLAR,14271.4,14415.56,14867.26
2020-04-10,AUD,AUSTRALIAN DOLLAR,14486.16,14632.48,15091.01
2020-04-11,AUD,AUSTRALIAN DOLLAR,14486.16,14632.48,15091.01
2020-04-12,AUD,AUSTRALIAN DOLLAR,14486.16,14632.48,15091.01
2020-04-13,AUD,AUSTRALIAN DOLLAR,14467.21,14613.34,15071.27
2020-04-14,AUD,AUSTRALIAN DOLLAR,14641.91,14789.81,15253.26
2020-04-15,AUD,AUSTRALIAN DOLLAR,14480.91,14627.18,15085.55
