ngay,ma_ngoai_te,ten_ngoai_te,mua_tien_mat,mua_chuyen_khoan,ban
2020-02-01,GBP,POUND STERLING,29969.49,30272.21,30602.78
2020-02-02,GBP,POUND STERLING,29969.49,30272.21,30602.78
2020-02-03,GBP,POUND STERLING,30189.2,30494.14,30833.72
2020-02-04,GBP,POUND STERLING,29781.85,30082.68,30411.17
2020-02-05,GBP,POUND STERLING,29753.93,30054.47,30382.68
2020-02-06,GBP,POUND STERLING,29683.05,29982.88,30310.31
2020-02-07,GBP,POUND STERLING,29588.34,29887.21,30213.58
2020-02-08,GBP,POUND STERLING,29588.34,29887.21,30213.58
2020-02-09,GBP,POUND STERLING,29588.34,29887.21,30213.58
2020-02-10,GBP,POUND STERLING,29537.24,29835.6,30161.38
2020-02-11,GBP,POUND STERLING,29545.14,29843.58,30169.45
2020-02-12,GBP,POUND STERLING,29669.73,29969.42,30296.68
2020-02-13,GBP,POUND STERLING,29640.46,29939.86,30266.8
2020-02-14,GBP,POUND STERLING,29870.66,30172.38,30501.85
2020-02-15,GBP,POUND STERLING,29870.66,30172.38,30501.85
2020-02-16,GBP,POUND STERLING,29870.66,30172.38,30501.85
2020-02-17,GBP,POUND STERLING,29844.07,30145.53,30474.72
2020-02-18,GBP,POUND STERLING,29709.1,30009.19,30336.89
2020-02-19,GBP,POUND STERLING,29749.82,30050.32,30378.46
2020-02-20,GBP,POUND STERLING,29543.87,29842.29,30168.17
2020-02-21,GBP,POUND STERLING,29506.74,29804.79,30130.25
2020-02-22,GBP,POUND STERLING,29506.74,29804.79,30130.25
2020-02-23,GBP,POUND STERLING,29506.74,29804.79,30130.25
2020-02-24,GBP,POUND STERLING,29606.2,29905.25,30231.77
2020-02-25,GBP,POUND STERLING,29645.37,29944.82,30271.8
2020-02-26,GBP,POUND STERLING,29742.48,30042.91,30370.97
2020-02-27,GBP,POUND STERLING,29594.21,29893.14,30219.57
2020-02-28,GBP,POUND STERLING,29454.63,29752.15,30077.04
2020-02-29,GBP,POUND STERLING,29454.63,29752.15,30077.04
2020-03-01,GBP,POUND STERLING,29454.63,29752.15,30077.04
2020-03-02,GBP,POUND STERLING,29324.2,29620.4,29943.85
2020-03-03,GBP,POUND STERLING,29222.36,29517.54,29839.88
2020-03-04,GBP,POUND STERLING,29288.06,29583.9,29906.98
2020-03-05,GBP,POUND STERLING,29420.64,29717.82,30042.36
2020-03-06,GBP,POUND STERLING,29634.63,29933.97,30260.88
2020-03-07,GBP,POUND STERLING,29634.63,29933.97,30260.88
2020-03-08,GBP,POUND STERLING,29634.63,29933.97,30260.88
2020-03-09,GBP,POUND STERLING,30004.65,30307.73,30638.77
2020-03-10,GBP,POUND STERLING,29819.05,30120.25,30449.22
2020-03-11,GBP,POUND STERLING,29433.82,29731.13,30055.86
2020-03-12,GBP,POUND STERLING,29214.86,29509.96,29832.26
2020-03-13,GBP,POUND STERLING,28667.93,28957.5,29273.74
2020-03-14,GBP,POUND STERLING,28667.93,28957.5,29273.74
2020-03-15,GBP,POUND STERLING,28667.93,28957.5,29273.74
2020-03-16,GBP,POUND STERLING,28260.14,28545.6,28857.32
2020-03-17,GBP,POUND STERLING,28057.12,28340.53,28649.99
2020-03-18,GBP,POUND STERLING,27624.24,27903.27,28207.91
2020-03-19,GBP,POUND STERLING,26392.96,26659.56,27495.0
2020-03-20,GBP,POUND STERLING,26392.96,26659.56,27495.0
2020-03-21,GBP,POUND STERLING,26905.59,27177.36,28040.94
2020-03-22,GBP,POUND STERLING,26905.59,27177.36,28040.94
2020-03-23,GBP,POUND STERLING,26827.98,27098.97,27947.91
2020-03-24,GBP,POUND STERLING,26781.41,27051.93,27899.51
2020-03-25,GBP,POUND STERLING,27280.18,27555.74,28249.05
2020-03-26,GBP,POUND STERLING,27580.72,27859.31,28560.2
2020-03-27,GBP,POUND STERLING,28206.3,28491.21,29214.2
2020-03-28,GBP,POUND STERLING,28206.3,28491.21,29214.2
2020-03-29,GBP,POUND STERLING,28206.3,28491.21,29214.2
2020-03-30,GBP,POUND STERLING,28625.42,28914.57,29642.01
2020-03-31,GBP,POUND STERLING,28435.16,28722.38,29445.06
2020-04-01,GBP,POUND STERLING,28451.29,28738.68,29461.77
2020-04-02,GBP,POUND STERLING,28451.29,28738.68,29461.77
2020-04-03,GBP,POUND STERLING,28125.92,28410.02,29137.41
2020-04-04,GBP,POUND STERLING,28125.92,28410.02,29137.41
2020-04-05,GBP,POUND STERLING,28125.92,28410.02,29137.41
2020-04-06,GBP,POUND STERLING,28158.41,28442.84,29158.59
2020-04-07,GBP,POUND STERLING,28186.19,28470.9,29363.06
2020-04-08,GBP,POUND STERLING,28251.43,28536.8,29430.96
2020-04-09,GBP,POUND STERLING,28405.43,28692.35,29591.41
2020-04-10,GBP,POUND STERLING,28483.57,28771.28,29672.88
2020-04-11,GBP,POUND STERLING,28483.57,28771.28,29672.88
2020-04-12,GBP,POUND STERLING,28483.57,28771.28,29672.88
2020-04-13,GBP,POUND STERLING,28472.89,28760.49,29661.74
2020-04-14,GBP,POUND STERLING,28730.43,29020.64,29930.02
2020-04-15,GBP,POUND STERLING,28657.96,28947.43,29854.54
2020-04-16,GBP,POUND STERLING,28545.21,28833.55,29737.07
2020-04-17,GBP,POUND STERLING,28416.55,28703.59,29590.44
2020-04-18,GBP,POUND STERLING,28416.55,28703.59,29590.44
2020-04-19,GBP,POUND STERLING,28416.55,28703.59,29590.44
2020-04-20,GBP,POUND STERLING,28507.89,28795.85,29698.2
2020-04-21,GBP,POUND STERLING,28368.46,28655.01,29552.95
2020-04-22,GBP,POUND STERLING,28122.72,28406.79,29296.92
2020-04-23,GBP,POUND STERLING,28300.1,28585.96,29481.69
2020-04-24,GBP,POUND STERLING,28222.26,28507.33,29400.59
2020-04-25,GBP,POUND STERLING,28222.26,28507.33,29400.59
2020-04-26,GBP,POUND STERLING,28222.26,28507.33,29400.59
2020-04-27,GBP,POUND STERLING,28446.88,28734.22,29634.63
2020-04-28,GBP,POUND STERLING,28379.89,28666.56,29552.25
2020-04-29,GBP,POUND STERLING,28457.71,28745.16,29645.96
2020-04-30,GBP,POUND STERLING,28457.71,28745.16,29645.96
2020-05-01,GBP,POUND STERLING,28457.71,28745.16,29645.96
2020-05-02,GBP,POUND STERLING,28457.71,28745.16,29645.96
2020-05-03,GBP,POUND STERLING,28457.71,28745.16,29645.96
2020-05-04,GBP,POUND STERLING,28424.19,28711.3,29611.03
2020-05-05,GBP,POUND STERLING,28434.88,28722.1,29622.17
2020-05-06,GBP,POUND STERLING,28373.24,28659.84,29557.96
2020-05-07,GBP,POUND STERLING,28207.59,28492.52,29385.41
2020-05-08,GBP,POUND STERLING,28214.0,28498.99,29392.13
2020-05-09,GBP,POUND STERLING,28214.0,28498.99,29392.13
2020-05-10,GBP,POUND STERLING,28214.0,28498.99,29392.13
2020-05-11,GBP,POUND STERLING,28255.07,28540.47,29434.95
2020-05-12,GBP,POUND STERLING,28066.99,28350.49,29239.0
2020-05-13,GBP,POUND STERLING,27913.44,28195.39,29079.02
2020-05-14,GBP,POUND STERLING,27820.6,28101.62,28982.3
2020-05-15,GBP,POUND STERLING,27792.76,28073.49,28953.3
2020-05-16,GBP,POUND STERLING,27792.76,28073.49,28953.3
2020-05-17,GBP,POUND STERLING,27792.76,28073.49,28953.3
2020-05-18,GBP,POUND STERLING,27536.9,27815.05,28686.78
2020-05-19,GBP,POUND STERLING,27808.72,28089.62,28970.02
2020-05-20,GBP,POUND STERLING,27751.41,28031.73,28910.33
2020-05-21,GBP,POUND STERLING,27703.78,27983.62,28860.7
2020-05-22,GBP,POUND STERLING,27623.18,27902.2,28776.71
2020-05-23,GBP,POUND STERLING,27623.18,27902.2,28776.71
2020-05-24,GBP,POUND STERLING,27623.18,27902.2,28776.71
2020-05-25,GBP,POUND STERLING,27662.29,27941.71,28817.45
2020-05-26,GBP,POUND STERLING,27745.15,28025.4,28903.75
2020-05-27,GBP,POUND STERLING,27997.46,28280.26,29166.59
2020-05-28,GBP,POUND STERLING,27857.61,28139.0,29020.93
2020-05-29,GBP,POUND STERLING,27967.57,28250.07,29135.5
2020-05-30,GBP,POUND STERLING,27967.57,28250.07,29135.5
2020-05-31,GBP,POUND STERLING,27967.57,28250.07,29135.5
2020-06-01,GBP,POUND STERLING,28129.44,28413.58,29304.16
2020-06-02,GBP,POUND STERLING,28353.9,28640.3,29537.98
2020-06-03,GBP,POUND STERLING,28528.47,28816.64,29719.85
2020-06-04,GBP,POUND STERLING,28410.58,28697.56,29597.03
2020-06-05,GBP,POUND STERLING,28690.7,28980.51,29888.87
2020-06-06,GBP,POUND STERLING,28690.7,28980.51,29888.87
2020-06-07,GBP,POUND STERLING,28690.7,28980.51,29888.87
2020-06-08,GBP,POUND STERLING,28752.06,29042.48,29952.8
2020-06-09,GBP,POUND STERLING,28641.5,28930.81,29837.67
2020-06-10,GBP,POUND STERLING,28829.12,29120.32,30033.12
2020-06-11,GBP,POUND STERLING,28688.66,28978.44,29886.76
2020-06-12,GBP,POUND STERLING,28437.32,28724.57,29624.92
2020-06-13,GBP,POUND STERLING,28437.32,28724.57,29624.92
2020-06-14,GBP,POUND STERLING,28437.32,28724.57,29624.92
2020-06-15,GBP,POUND STERLING,28392.03,28678.82,29577.75
2020-06-16,GBP,POUND STERLING,28587.66,28876.42,29781.56
2020-06-17,GBP,POUND STERLING,28411.89,28698.88,29598.46
2020-06-18,GBP,POUND STERLING,28384.76,28671.47,29570.19
