ngay,ma_ngoai_te,ten_ngoai_te,mua_tien_mat,mua_chuyen_khoan,ban
2020-02-01,JPY,YEN,206.01,208.09,215.42
2020-02-02,JPY,YEN,206.01,208.09,215.42
2020-02-03,JPY,YEN,207.26,209.35,216.78
2020-02-04,JPY,YEN,206.37,208.45,215.79
2020-02-05,JPY,YEN,204.98,207.05,214.35
2020-02-06,JPY,YEN,204.33,206.39,213.66
2020-02-07,JPY,YEN,204.25,206.31,213.58
2020-02-08,JPY,YEN,204.25,206.31,213.58
2020-02-09,JPY,YEN,204.25,206.31,213.58
2020-02-10,JPY,YEN,204.73,206.8,214.09
2020-02-11,JPY,YEN,204.48,206.55,213.82
2020-02-12,JPY,YEN,204.42,206.48,213.75
2020-02-13,JPY,YEN,204.26,206.32,213.59
2020-02-14,JPY,YEN,204.56,206.63,213.91
2020-02-15,JPY,YEN,204.56,206.63,213.91
2020-02-16,JPY,YEN,204.56,206.63,213.91
2020-02-17,JPY,YEN,204.46,206.53,213.8
2020-02-18,JPY,YEN,204.57,206.64,213.92
2020-02-19,JPY,YEN,204.34,206.4,213.67
2020-02-20,JPY,YEN,201.86,203.9,211.08
2020-02-21,JPY,YEN,200.6,202.63,209.77
2020-02-22,JPY,YEN,200.6,202.63,209.77
2020-02-23,JPY,YEN,200.6,202.63,209.77
2020-02-24,JPY,YEN,202.01,204.05,211.24
2020-02-25,JPY,YEN,203.08,205.13,212.36
2020-02-26,JPY,YEN,203.29,205.34,212.58
2020-02-27,JPY,YEN,204.12,206.18,213.44
2020-02-28,JPY,YEN,206.67,208.76,216.11
2020-02-29,JPY,YEN,206.67,208.76,216.11
2020-03-01,JPY,YEN,206.67,208.76,216.11
2020-03-02,JPY,YEN,208.68,210.79,218.22
2020-03-03,JPY,YEN,207.84,209.94,217.34
2020-03-04,JPY,YEN,208.93,211.04,218.47
2020-03-05,JPY,YEN,209.03,211.14,218.57
2020-03-06,JPY,YEN,211.77,213.91,221.45
2020-03-07,JPY,YEN,211.77,213.91,221.45
2020-03-08,JPY,YEN,211.77,213.91,221.45
2020-03-09,JPY,YEN,218.49,220.7,229.64
2020-03-10,JPY,YEN,216.55,218.74,227.6
2020-03-11,JPY,YEN,213.41,215.57,224.3
2020-03-12,JPY,YEN,216.2,218.38,227.22
2020-03-13,JPY,YEN,213.69,215.85,224.59
2020-03-14,JPY,YEN,213.69,215.85,224.59
2020-03-15,JPY,YEN,213.69,215.85,224.59
2020-03-16,JPY,YEN,212.85,215.0,225.17
2020-03-17,JPY,YEN,212.84,214.99,225.16
2020-03-18,JPY,YEN,211.79,213.93,224.04
2020-03-19,JPY,YEN,209.13,211.24,221.23
2020-03-20,JPY,YEN,209.13,211.24,221.23
2020-03-21,JPY,YEN,208.67,210.78,220.85
2020-03-22,JPY,YEN,208.67,210.78,220.85
2020-03-23,JPY,YEN,209.46,211.58,221.58
2020-03-24,JPY,YEN,207.9,210.0,219.93
2020-03-25,JPY,YEN,204.81,206.88,215.25
2020-03-26,JPY,YEN,207.95,210.05,218.55
2020-03-27,JPY,YEN,209.86,211.98,220.6
2020-03-28,JPY,YEN,209.86,211.98,220.6
2020-03-29,JPY,YEN,209.86,211.98,220.6
2020-03-30,JPY,YEN,211.81,213.95,222.6
2020-03-31,JPY,YEN,210.44,212.57,221.18
2020-04-01,JPY,YEN,211.88,214.02,222.68
2020-04-02,JPY,YEN,211.88,214.02,222.68
2020-04-03,JPY,YEN,208.84,210.95,219.58
2020-04-04,JPY,YEN,208.84,210.95,219.58
2020-04-05,JPY,YEN,208.84,210.95,219.58
2020-04-06,JPY,YEN,208.1,210.2,218.71
2020-04-07,JPY,YEN,208.38,210.48,219.0
2020-04-08,JPY,YEN,208.97,211.08,219.62
2020-04-09,JPY,YEN,208.41,210.52,219.04
2020-04-10,JPY,YEN,208.92,211.03,219.57
2020-04-11,JPY,YEN,208.92,211.03,219.57
2020-04-12,JPY,YEN,208.92,211.03,219.57
2020-04-13,JPY,YEN,209.58,211.7,220.27
2020-04-14,JPY,YEN,210.78,212.91,221.53
2020-04-15,JPY,YEN,211.48,213.62,222.27
2020-04-16,JPY,YEN,210.27,212.39,220.99
2020-04-17,JPY,YEN,210.21,212.33,220.83
2020-04-18,JPY,YEN,210.21,212.33,220.83
2020-04-19,JPY,YEN,210.21,212.33,220.83
2020-04-20,JPY,YEN,212.03,214.17,223.14
