ngay,ma_ngoai_te,ten_ngoai_te,mua_tien_mat,mua_chuyen_khoan,ban
2020-02-01,USD,US DOLLAR,23135.0,23165.0,23305.0
2020-02-02,USD,US DOLLAR,23135.0,23165.0,23305.0
2020-02-03,USD,US DOLLAR,23170.0,23200.0,23340.0
2020-02-04,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-02-05,USD,US DOLLAR,23130.0,23160.0,23300.0
2020-02-06,USD,US DOLLAR,23130.0,23160.0,23300.0
2020-02-07,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-02-08,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-02-09,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-02-10,USD,US DOLLAR,23165.0,23195.0,23335.0
2020-02-11,USD,US DOLLAR,23150.0,23180.0,23320.0
2020-02-12,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-02-13,USD,US DOLLAR,23135.0,23165.0,23305.0
2020-02-14,USD,US DOLLAR,23145.0,23175.0,23315.0
2020-02-15,USD,US DOLLAR,23145.0,23175.0,23315.0
2020-02-16,USD,US DOLLAR,23145.0,23175.0,23315.0
2020-02-17,USD,US DOLLAR,23135.0,23165.0,23305.0
2020-02-18,USD,US DOLLAR,23135.0,23165.0,23305.0
2020-02-19,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-02-20,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-02-21,USD,US DOLLAR,23145.0,23175.0,23315.0
2020-02-22,USD,US DOLLAR,23145.0,23175.0,23315.0
2020-02-23,USD,US DOLLAR,23145.0,23175.0,23315.0
2020-02-24,USD,US DOLLAR,23180.0,23210.0,23350.0
2020-02-25,USD,US DOLLAR,23155.0,23185.0,23325.0
2020-02-26,USD,US DOLLAR,23145.0,23175.0,23315.0
2020-02-27,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-02-28,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-02-29,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-03-01,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-03-02,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-03-03,USD,US DOLLAR,23120.0,23150.0,23290.0
2020-03-04,USD,US DOLLAR,23115.0,23145.0,23285.0
2020-03-05,USD,US DOLLAR,23115.0,23145.0,23285.0
2020-03-06,USD,US DOLLAR,23100.0,23130.0,23270.0
2020-03-07,USD,US DOLLAR,23100.0,23130.0,23270.0
2020-03-08,USD,US DOLLAR,23100.0,23130.0,23270.0
2020-03-09,USD,US DOLLAR,23080.0,23110.0,23250.0
2020-03-10,USD,US DOLLAR,23080.0,23110.0,23250.0
2020-03-11,USD,US DOLLAR,23080.0,23110.0,23250.0
2020-03-12,USD,US DOLLAR,23095.0,23125.0,23265.0
2020-03-13,USD,US DOLLAR,23120.0,23150.0,23290.0
2020-03-14,USD,US DOLLAR,23120.0,23150.0,23290.0
2020-03-15,USD,US DOLLAR,23120.0,23150.0,23290.0
2020-03-16,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-03-17,USD,US DOLLAR,23140.0,23170.0,23310.0
2020-03-18,USD,US DOLLAR,23200.0,23230.0,23370.0
2020-03-19,USD,US DOLLAR,23305.0,23335.0,23495.0
2020-03-20,USD,US DOLLAR,23305.0,23335.0,23495.0
2020-03-21,USD,US DOLLAR,23340.0,23370.0,23530.0
2020-03-22,USD,US DOLLAR,23340.0,23370.0,23530.0
2020-03-23,USD,US DOLLAR,23570.0,23600.0,23760.0
2020-03-24,USD,US DOLLAR,23460.0,23490.0,23650.0
2020-03-25,USD,US DOLLAR,23485.0,23515.0,23675.0
2020-03-26,USD,US DOLLAR,23530.0,23560.0,23720.0
2020-03-27,USD,US DOLLAR,23510.0,23540.0,23700.0
2020-03-28,USD,US DOLLAR,23510.0,23540.0,23700.0
2020-03-29,USD,US DOLLAR,23510.0,23540.0,23700.0
2020-03-30,USD,US DOLLAR,23530.0,23560.0,23720.0
