ngay,ma_ngoai_te,ten_ngoai_te,mua_tien_mat,mua_chuyen_khoan,ban
2/1/2020,USD,US DOLLAR,23135,23165,23305
2/1/2020,EUR,EURO,25092.31,25345.77,26238.8
2/1/2020,GBP,POUND STERLING,29969.49,30272.21,30602.78
2/1/2020,JPY,YEN,206.01,208.09,215.42
2/1/2020,AUD,AUSTRALIAN DOLLAR,15283.98,15438.36,15763.8
2/1/2020,SGD,SINGAPORE DOLLAR,16780.84,16950.34,17169.74
2/1/2020,THB,THAILAND BAHT,656.94,729.93,763.42
2/1/2020,CAD,CANADIAN DOLLAR,17235.63,17409.73,17776.74
2/1/2020,CHF,SWISS FRANC,23454.88,23691.8,24191.23
2/1/2020,HKD,HONGKONG DOLLAR,2939.87,2969.57,3014.03
2/1/2020,CNY,YUAN RENMINBI,3282.68,3315.84,3385.74
2/1/2020,DKK,DANISH KRONE,-,3366.32,3492.73
2/1/2020,INR,INDIAN RUPEE,-,324.18,336.9
2/1/2020,KRW,KOREAN WON,17.8,18.74,20.53
2/1/2020,KWD,KUWAITI DINAR,-,76287.04,79280.24
2/1/2020,MYR,MALAYSIAN RINGGIT,-,5624.85,5743.42
2/1/2020,NOK,NORWEGIAN KRONER,-,2478.02,2581.39
2/1/2020,RUB,RUSSIAN RUBLE,-,366.19,408.05
2/1/2020,SAR,SAUDI RIAL,-,6179.67,6422.13
2/1/2020,SEK,SWEDISH KRONA,-,2364.08,2452.85
2/2/2020,USD,US DOLLAR,23135,23165,23305
2/2/2020,EUR,EURO,25092.31,25345.77,26238.8
2/2/2020,GBP,POUND STERLING,29969.49,30272.21,30602.78
2/2/2020,JPY,YEN,206.01,208.09,215.42
2/2/2020,AUD,AUSTRALIAN DOLLAR,15283.98,15438.36,15763.8
2/2/2020,SGD,SINGAPORE DOLLAR,16780.84,16950.34,17169.74
2/2/2020,THB,THAILAND BAHT,656.94,729.93,763.42
2/2/2020,CAD,CANADIAN DOLLAR,17235.63,17409.73,17776.74
2/2/2020,CHF,SWISS FRANC,23454.88,23691.8,24191.23
2/2/2020,HKD,HONGKONG DOLLAR,2939.87,2969.57,3014.03
2/2/2020,CNY,YUAN RENMINBI,3282.68,3315.84,3385.74
2/2/2020,DKK,DANISH KRONE,-,3366.32,3492.73
2/2/2020,INR,INDIAN RUPEE,-,324.18,336.9
2/2/2020,KRW,KOREAN WON,17.8,18.74,20.53
2/2/2020,KWD,KUWAITI DINAR,-,76287.04,79280.24
2/2/2020,MYR,MALAYSIAN RINGGIT,-,5624.85,5743.42
2/2/2020,NOK,NORWEGIAN KRONER,-,2478.02,2581.39
2/2/2020,RUB,RUSSIAN RUBLE,-,366.19,408.05
2/2/2020,SAR,SAUDI RIAL,-,6179.67,6422.13
