Giá thực tế,Giá dự đoán
24790,24344
24830,24344
24840,24370
24840,24380
24840,24382
24960,24383
25008,24463
25130,24503
25130,24594
25163,24607
25163,24634
25163,24637
25175,24639
25178,24646
25177,24651
25167,24651
25118,24645
25118,24611
25118,24607
25118,24605
25118,24605
25118,24605
25144,24605
25143,24622
25147,24623
25147,24627
25157,24627
25155,24634
25161,24633
25178,24638
25184,24650
25184,24655
25184,24656
25179,24657
25182,24654
25182,24655
25152,24655
25250,24635
25250,24699
25250,24705
25259,24709
25263,24716
25266,24719
25250,24721
25277,24712
25277,24729
25277,24730
25281,24731
25268,24734
25265,24726
25250,24723
25254,24712
25254,24713
25254,24713
25234,24713
25218,24700
25213,24688
25213,24682
25213,24681
25213,24681
25213,24681
25214,24681
25222,24681
25226,24686
25217,24690
25221,24684
25221,24687
25221,24687
25231,24687
25251,24693
25249,24708
25247,24708
25248,24708
25248,24708
25248,24708
25255,24708
25245,24713
25250,24707
25257,24710
25253,24715
25253,24712
25253,24712
25244,24713
25245,24706
25250,24706
25243,24709
25238,24705
25238,24701
25238,24701
25235,24700
25234,24698
25239,24698
25245,24701
25240,24705
25240,24702
25240,24702
25237,24702
25237,24700
25168,24700
25150,24653
25158,24636
25158,24637
25158,24636
25154,24637
25157,24635
25177,24636
25120,24649
25121,24612
25121,24609
25121,24608
25115,24607
25120,24603
25080,24606
25060,24579
25040,24563
25040,24547
25040,24544
24930,24543
24980,24470
24995,24494
24980,24504
24930,24495
24930,24462
24930,24459
24940,24455
24950,24461
24850,24469
24870,24405
24890,24410
24890,24421
24890,24422
24820,24423
24740,24378
24760,24319
24780,24323
24810,24334
24810,24355
24810,24359
24710,24360
24660,24294
24680,24253
24690,24258
24690,24264
24690,24265
24690,24266
24690,24265
24690,24265
24675,24265
24580,24255
24430,24192
24430,24088
24430,24071
24500,24063
24490,24106
24385,24106
24410,24041
24390,24047
24390,24032
24390,24029
24380,24029
24430,24023
24470,24053
24410,24083
24400,24050
24400,24041
24400,24038
24460,24036
24430,24075
24410,24061
24460,24048
24420,24078
24420,24055
24420,24053
24400,24053
24430,24039
24480,24056
24580,24091
24580,24161
24580,24171
24580,24176
24670,24177
24665,24236
24665,24240
24670,24244
24640,24248
24640,24229
24640,24226
24660,24226
24765,24239
24810,24309
25010,24348
24980,24488
24980,24487
24980,24493
25070,24493
25092,24553
25220,24573
25233,24668
25197,24688
25197,24669
25197,24667
25194,24667
25164,24664
25118,24645
25090,24612
25114,24589
25114,24600
25114,24601
25125,24602
25160,24609
25170,24633
25197,24642
25130,24663
25130,24621
25130,24617
25116,24614
25160,24604
25180,24633
25184,24650
25190,24655
25190,24661
25190,24661
25200,24661
25205,24668
25200,24673
25200,24670
25200,24670
25200,24670
25200,24670
25197,24670
25200,24668
25200,24670
25175,24670
25160,24653
25160,24641
25160,24639
25149,24638
25170,24631
25172,24644
25176,24647
25164,24650
25164,24642
25164,24642
25157,24641
25170,24636
25165,24645
25171,24642
25177,24646
25177,24650
25177,24651
25185,24651
25183,24657
25191,24656
25219,24662
25240,24681
25240,24698
25240,24700
25230,24702
25223,24695
25236,24689
25225,24697
25238,24691
25238,24699
25238,24700
25243,24700
25251,24704
25251,24710
25259,24710
25250,24716
25250,24711
25250,24710
25253,24710
25208,24712
25186,24682
25194,24664
25198,24666
25198,24668
25198,24668
25200,24669
25203,24670
25194,24672
25189,24666
25150,24662
25150,24635
25150,24632
25150,24631
25090,24630
24960,24590
24960,24499
24800,24487
24800,24376
24800,24362
24800,24356
24800,24354
24800,24353
24800,24354
24800,24352
24800,24352
24800,24352
25140,24352
25000,24578
24980,24511
25090,24500
25110,24570
25110,24589
25110,24591
25200,24600
25340,24658
25380,24758
25300,24801
25220,24756
25220,24699
25220,24689
25280,24685
25340,24727
25340,24773
25350,24780
25320,24788
25320,24769
25320,24766
25310,24766
25330,24759
25360,24772
25380,24794
25370,24810
25370,24806
25370,24807
25420,24806
25390,24840
25320,24823
25300,24776
25300,24756
25330,24752
25330,24770
25340,24774
25290,24782
25280,24748
25320,24738
25350,24762
25350,24785
25350,24788
25360,24791
25350,24797
25370,24790
25380,24804
25400,24812
25400,24827
25400,24829
25450,24830
25450,24864
25390,24868
25390,24829
25400,24825
25400,24830
25400,24829
25380,24831
25460,24818
25460,24870
25620,24875
25600,24988
25600,24987
25600,24991
25600,24991
25780,24992
25822,25116
25610,25161
25560,25022
25560,24975
25560,24964
25640,24958
25650,25017
25650,25032
25700,25033
25760,25068
25760,25113
25760,25118
25700,25122
25755,25081
25781,25114
25814,25135
25835,25162
