Giá thực tế,Giá dự đoán
24790,25031
24830,25032
24840,25054
24840,25071
24840,25080
24960,25084
25008,25149
25130,25206
25130,25301
25163,25350
25163,25392
25163,25409
25175,25414
25178,25419
25177,25424
25167,25425
25118,25421
25118,25393
25118,25378
25118,25370
25118,25366
25118,25365
25144,25366
25143,25380
25147,25387
25147,25392
25157,25395
25155,25402
25161,25403
25178,25407
25184,25418
25184,25426
25184,25430
25179,25433
25182,25431
25182,25431
25152,25430
25250,25415
25250,25458
25250,25479
25259,25492
25263,25503
25266,25510
25250,25512
25277,25505
25277,25515
25277,25520
25281,25523
25268,25527
25265,25522
25250,25517
25254,25507
25254,25503
25254,25502
25234,25501
25218,25491
25213,25478
25213,25469
25213,25463
25213,25461
25213,25461
25214,25461
25222,25462
25226,25466
25217,25471
25221,25468
25221,25469
25221,25469
25231,25469
25251,25474
25249,25487
25247,25493
25248,25495
25248,25497
25248,25497
25255,25496
25245,25500
25250,25496
25257,25497
25253,25501
25253,25501
25253,25501
25244,25501
25245,25497
25250,25494
25243,25496
25238,25493
25238,25489
25238,25488
25235,25487
25234,25484
25239,25483
25245,25485
25240,25489
25240,25489
25240,25489
25237,25489
25237,25487
25168,25486
25150,25450
25158,25422
25158,25411
25158,25405
25154,25404
25157,25404
25177,25405
25120,25416
25121,25392
25121,25380
25121,25374
25115,25370
25120,25365
25080,25367
25060,25348
25040,25327
25040,25305
25040,25294
24930,25288
24980,25230
24995,25227
24980,25232
24930,25227
24930,25201
24930,25190
24940,25181
24950,25181
24850,25188
24870,25142
24890,25128
24890,25129
24890,25129
24820,25131
24740,25099
24760,25039
24780,25016
24810,25013
24810,25029
24810,25042
24710,25051
24660,25002
24680,24949
24690,24928
24690,24922
24690,24921
24690,24925
24690,24929
24690,24930
24675,24929
24580,24921
24430,24867
24430,24758
24430,24699
24500,24665
24490,24686
24385,24698
24410,24656
24390,24647
24390,24627
24390,24614
24380,24609
24430,24605
24470,24630
24410,24663
24400,24651
24400,24639
24400,24631
24460,24625
24430,24652
24410,24654
24460,24646
24420,24667
24420,24656
24420,24649
24400,24646
24430,24634
24480,24642
24580,24674
24580,24746
24580,24785
24580,24807
24670,24817
24665,24866
24665,24885
24670,24897
24640,24907
24640,24894
24640,24885
24660,24879
24765,24887
24810,24947
25010,25004
24980,25141
24980,25196
24980,25225
25070,25235
25092,25281
25220,25311
25233,25396
25197,25447
25197,25455
25197,25455
25194,25452
25164,25445
25118,25427
25090,25396
25114,25364
25114,25360
25114,25358
25125,25359
25160,25367
25170,25390
25197,25406
25130,25428
25130,25405
25130,25393
25116,25384
25160,25372
25180,25389
25184,25410
25190,25423
25190,25434
25190,25439
25200,25439
25205,25444
25200,25449
25200,25449
25200,25449
25200,25449
25200,25449
25197,25448
25200,25447
25200,25448
25175,25448
25160,25435
25160,25421
25160,25414
25149,25410
25170,25402
25172,25410
25176,25416
25164,25421
25164,25417
25164,25416
25157,25414
25170,25409
25165,25414
25171,25414
25177,25417
25177,25422
25177,25424
25185,25425
25183,25430
25191,25431
25219,25436
25240,25453
25240,25472
25240,25482
25230,25487
25223,25484
25236,25478
25225,25480
25238,25476
25238,25481
25238,25484
25243,25486
25251,25489
25251,25494
25259,25497
25250,25503
25250,25501
25250,25500
25253,25499
25208,25500
25186,25477
25194,25455
25198,25446
25198,25444
25198,25444
25200,25445
25203,25448
25194,25450
25189,25446
25150,25442
25150,25419
25150,25408
25150,25401
25090,25398
24960,25367
24960,25285
24800,25241
24800,25133
24800,25077
24800,25049
24800,25040
24800,25038
24800,25041
24800,25043
24800,25043
24800,25043
25140,25043
25000,25222
24980,25240
25090,25246
25110,25303
25110,25335
25110,25346
25200,25357
25340,25409
25380,25503
25300,25572
25220,25569
25220,25525
25220,25496
25280,25475
25340,25496
25340,25542
25350,25569
25320,25589
25320,25581
25320,25575
25310,25569
25330,25562
25360,25569
25380,25588
25370,25608
25370,25614
25370,25617
25420,25617
25390,25642
25320,25638
25300,25603
25300,25574
25330,25557
25330,25562
25340,25568
25290,25579
25280,25559
25320,25543
25350,25554
25350,25574
25350,25586
25360,25594
25350,25603
25370,25600
25380,25608
25400,25617
25400,25632
25400,25640
25450,25644
25450,25671
25390,25684
25390,25660
25400,25648
25400,25645
25400,25642
25380,25642
25460,25634
25460,25670
25620,25688
25600,25779
25600,25814
25600,25833
25600,25840
25780,25840
25822,25926
25610,25992
25560,25922
25560,25862
25560,25825
25640,25800
25650,25832
25650,25861
25700,25877
25760,25909
25760,25953
25760,25973
25700,25984
25755,25959
25781,25971
25814,25987
25835,26014
