Giá thực tế,Giá dự đoán
24790,24684
24830,24684
24840,24689
24840,24696
24840,24704
24960,24712
25008,24728
25130,24751
25130,24787
25163,24826
25163,24868
25163,24913
25175,24958
25178,24987
25177,25009
25167,25015
25118,25021
25118,25019
25118,25014
25118,25008
25118,25000
25118,24992
25144,24983
25143,24979
25147,24981
25147,24985
25157,24989
25155,24994
25161,24999
25178,25004
25184,25007
25184,25012
25184,25017
25179,25022
25182,25026
25182,25029
25152,25032
25250,25030
25250,25033
25250,25040
25259,25048
25263,25058
25266,25069
25250,25081
25277,25095
25277,25097
25277,25100
25281,25103
25268,25106
25265,25108
25250,25108
25254,25109
25254,25107
25254,25103
25234,25100
25218,25095
25213,25090
25213,25084
25213,25079
25213,25073
25213,25068
25214,25062
25222,25059
25226,25059
25217,25060
25221,25061
25221,25063
25221,25064
25231,25065
25251,25066
25249,25068
25247,25071
25248,25075
25248,25079
25248,25083
25255,25087
25245,25089
25250,25089
25257,25089
25253,25090
25253,25091
25253,25091
25244,25092
25245,25091
25250,25091
25243,25091
25238,25089
25238,25088
25238,25086
25235,25084
25234,25083
25239,25082
25245,25080
25240,25080
25240,25080
25240,25080
25237,25081
25237,25081
25168,25082
25150,25077
25158,25067
25158,25057
25158,25045
25154,25033
25157,25022
25177,25011
25120,25011
25121,25010
25121,25007
25121,25002
25115,24997
25120,24992
25080,24986
25060,24976
25040,24970
25040,24961
25040,24951
24930,24939
24980,24921
24995,24902
24980,24888
24930,24877
24930,24865
24930,24852
24940,24838
24950,24838
24850,24832
24870,24819
24890,24805
24890,24798
24890,24792
24820,24785
24740,24774
24760,24753
24780,24742
24810,24727
24810,24712
24810,24699
24710,24688
24660,24681
24680,24676
24690,24666
24690,24651
24690,24633
24690,24615
24690,24599
24690,24597
24675,24601
24580,24601
24430,24593
24430,24570
24430,24538
24500,24502
24490,24468
24385,24437
24410,24403
24390,24381
24390,24377
24390,24372
24380,24365
24430,24348
24470,24337
24410,24344
24400,24347
24400,24351
24400,24354
24460,24356
24430,24362
24410,24362
24460,24356
24420,24360
24420,24365
24420,24369
24400,24371
24430,24364
24480,24363
24580,24368
24580,24376
24580,24396
24580,24418
24670,24442
24665,24475
24665,24506
24670,24532
24640,24544
24640,24556
24640,24565
24660,24573
24765,24570
24810,24576
25010,24590
24980,24621
24980,24666
24980,24714
25070,24763
25092,24815
25220,24856
25233,24901
25197,24928
25197,24960
25197,24991
25194,25022
25164,25039
25118,25050
25090,25041
25114,25025
25114,25013
25114,25000
25125,24988
25160,24978
25170,24975
25197,24980
25130,24993
25130,24999
25130,25003
25116,25006
25160,25006
25180,25002
25184,25001
25190,24998
25190,25006
25190,25014
25200,25023
25205,25033
25200,25039
25200,25042
25200,25044
25200,25045
25200,25047
25197,25048
25200,25048
25200,25047
25175,25047
25160,25045
25160,25042
25160,25037
25149,25031
25170,25025
25172,25020
25176,25016
25164,25015
25164,25016
25164,25017
25157,25018
25170,25020
25165,25019
25171,25018
25177,25017
25177,25018
25177,25020
25185,25022
25183,25025
25191,25027
25219,25030
25240,25034
25240,25040
25240,25048
25230,25057
25223,25064
25236,25070
25225,25075
25238,25077
25238,25076
25238,25075
25243,25075
25251,25076
25251,25079
25259,25081
25250,25085
25250,25087
25250,25089
25253,25091
25208,25092
25186,25089
25194,25083
25198,25075
25198,25067
25198,25059
25200,25052
25203,25045
25194,25044
25189,25046
25150,25046
25150,25042
25150,25037
25150,25030
25090,25023
24960,25012
24960,24991
24800,24964
24800,24928
24800,24883
24800,24835
24800,24785
24800,24744
24800,24721
24800,24700
24800,24700
24800,24700
25140,24700
25000,24723
24980,24750
25090,24779
25110,24814
25110,24855
25110,24896
25200,24937
25340,24940
25380,24975
25300,25021
25220,25054
25220,25078
25220,25097
25280,25112
25340,25118
25340,25111
25350,25103
25320,25110
25320,25126
25320,25141
25310,25154
25330,25159
25360,25156
25380,25156
25370,25158
25370,25164
25370,25171
25420,25179
25390,25190
25320,25198
25300,25198
25300,25192
25330,25183
25330,25176
25340,25169
25290,25157
25280,25147
25320,25144
25350,25145
25350,25148
25350,25149
25360,25151
25350,25154
25370,25163
25380,25174
25400,25180
25400,25185
25400,25191
25450,25198
25450,25207
25390,25219
25390,25225
25400,25229
25400,25229
25400,25228
25380,25228
25460,25220
25460,25216
25620,25223
25600,25242
25600,25266
25600,25292
25600,25320
25780,25350
25822,25380
25610,25419
25560,25430
25560,25434
25560,25433
25640,25428
25650,25426
25650,25405
25700,25382
25760,25391
25760,25412
25760,25437
25700,25462
25755,25475
25781,25487
25814,25501
25835,25512
