Giá thực tế,Giá dự đoán
24790,24441
24830,24441
24840,24446
24840,24451
24840,24458
24960,24465
25008,24478
25130,24497
25130,24528
25163,24559
25163,24595
25163,24632
25175,24670
25178,24695
25177,24714
25167,24719
25118,24724
25118,24722
25118,24718
25118,24713
25118,24706
25118,24699
25144,24692
25143,24688
25147,24691
25147,24693
25157,24697
25155,24701
25161,24705
25178,24710
25184,24712
25184,24716
25184,24720
25179,24724
25182,24727
25182,24731
25152,24733
25250,24732
25250,24734
25250,24739
25259,24746
25263,24755
25266,24764
25250,24774
25277,24786
25277,24788
25277,24790
25281,24793
25268,24795
25265,24797
25250,24797
25254,24798
25254,24796
25254,24793
25234,24790
25218,24786
25213,24782
25213,24777
25213,24773
25213,24768
25213,24763
25214,24758
25222,24756
25226,24756
25217,24757
25221,24758
25221,24759
25221,24760
25231,24760
25251,24762
25249,24764
25247,24766
25248,24769
25248,24772
25248,24776
25255,24779
25245,24781
25250,24781
25257,24781
25253,24782
25253,24782
25253,24783
25244,24783
25245,24783
25250,24783
25243,24783
25238,24781
25238,24780
25238,24778
25235,24777
25234,24776
25239,24775
25245,24773
25240,24773
25240,24773
25240,24774
25237,24774
25237,24774
25168,24775
25150,24771
25158,24763
25158,24754
25158,24744
25154,24734
25157,24725
25177,24715
25120,24715
25121,24715
25121,24712
25121,24708
25115,24704
25120,24699
25080,24695
25060,24686
25040,24681
25040,24674
25040,24665
24930,24655
24980,24640
24995,24624
24980,24613
24930,24603
24930,24593
24930,24582
24940,24570
24950,24570
24850,24565
24870,24554
24890,24543
24890,24537
24890,24531
24820,24526
24740,24516
24760,24499
24780,24490
24810,24477
24810,24465
24810,24454
24710,24445
24660,24438
24680,24435
24690,24426
24690,24414
24690,24399
24690,24384
24690,24370
24690,24368
24675,24371
24580,24372
24430,24365
24430,24346
24430,24319
24500,24289
24490,24261
24385,24235
24410,24206
24390,24188
24390,24184
24390,24180
24380,24174
24430,24160
24470,24151
24410,24157
24400,24159
24400,24163
24400,24165
24460,24166
24430,24172
24410,24172
24460,24166
24420,24170
24420,24174
24420,24177
24400,24180
24430,24174
24480,24172
24580,24177
24580,24184
24580,24200
24580,24219
24670,24239
24665,24266
24665,24292
24670,24313
24640,24324
24640,24333
24640,24342
24660,24349
24765,24346
24810,24351
25010,24362
24980,24389
24980,24425
24980,24466
25070,24507
25092,24550
25220,24585
25233,24623
25197,24645
25197,24672
25197,24698
25194,24724
25164,24739
25118,24748
25090,24740
25114,24727
25114,24717
25114,24707
25125,24697
25160,24688
25170,24685
25197,24690
25130,24700
25130,24705
25130,24709
25116,24711
25160,24711
25180,24708
25184,24707
25190,24705
25190,24711
25190,24718
25200,24725
25205,24734
25200,24739
25200,24741
25200,24743
25200,24744
25200,24745
25197,24746
25200,24746
25200,24746
25175,24746
25160,24744
25160,24741
25160,24737
25149,24733
25170,24728
25172,24723
25176,24719
25164,24719
25164,24720
25164,24721
25157,24721
25170,24723
25165,24722
25171,24721
25177,24720
25177,24721
25177,24723
25185,24724
25183,24727
25191,24728
25219,24731
25240,24735
25240,24740
25240,24746
25230,24753
25223,24759
25236,24765
25225,24769
25238,24770
25238,24770
25238,24769
25243,24769
25251,24770
25251,24773
25259,24774
25250,24777
25250,24779
25250,24781
25253,24782
25208,24783
25186,24781
25194,24776
25198,24769
25198,24763
25198,24756
25200,24750
25203,24744
25194,24743
25189,24744
25150,24744
25150,24741
25150,24737
25150,24732
25090,24726
24960,24716
24960,24698
24800,24676
24800,24646
24800,24609
24800,24568
24800,24526
24800,24492
24800,24473
24800,24454
24800,24454
24800,24454
25140,24454
25000,24473
24980,24497
25090,24520
25110,24550
25110,24583
25110,24618
25200,24653
25340,24656
25380,24685
25300,24724
25220,24751
25220,24771
25220,24787
25280,24800
25340,24805
25340,24799
25350,24793
25320,24798
25320,24811
25320,24824
25310,24835
25330,24839
25360,24837
25380,24837
25370,24838
25370,24844
25370,24850
25420,24856
25390,24866
25320,24873
25300,24873
25300,24867
25330,24860
25330,24854
25340,24848
25290,24838
25280,24829
25320,24827
25350,24827
25350,24830
25350,24831
25360,24833
25350,24835
25370,24843
25380,24852
25400,24858
25400,24862
25400,24867
25450,24872
25450,24880
25390,24890
25390,24895
25400,24898
25400,24898
25400,24898
25380,24898
25460,24891
25460,24888
25620,24894
25600,24910
25600,24929
25600,24952
25600,24975
25780,25000
25822,25025
25610,25058
25560,25067
25560,25071
25560,25070
25640,25066
25650,25065
25650,25047
25700,25027
25760,25035
25760,25052
25760,25073
25700,25095
25755,25105
25781,25115
25814,25127
25835,25137
