Giá thực tế,Giá dự đoán
24150,23924
24210,23942
24240,23988
24220,24021
24210,24014
24210,24006
24210,24004
24210,24002
24245,24001
24265,24027
24270,24045
24275,24053
24275,24059
24275,24060
24290,24059
24328,24069
24350,24099
24370,24120
24360,24139
24360,24135
24360,24135
24420,24133
24390,24176
24380,24161
24420,24154
24390,24181
24390,24162
24390,24159
24385,24160
24390,24156
24410,24158
24410,24174
24350,24176
24350,24134
24350,24127
24160,24124
24150,23990
24190,23963
24190,23980
24130,23980
24130,23940
24130,23937
24200,23932
24190,23980
24100,23981
24115,23922
24075,23922
24075,23891
24075,23884
24005,23883
23950,23835
24015,23788
24050,23822
24080,23850
24080,23877
24080,23886
24075,23890
24080,23886
24045,23888
24090,23863
24110,23890
24110,23908
24110,23912
24065,23914
24090,23884
24095,23895
24090,23899
24050,23896
24050,23869
24050,23864
24060,23861
24090,23867
24080,23890
24080,23888
24070,23888
24070,23881
24070,23880
24140,23879
24175,23928
24170,23961
24160,23966
24060,23962
24060,23891
24060,23877
24060,23871
24130,23869
24140,23917
24060,23935
24080,23884
24080,23890
24080,23888
24080,23886
24155,23887
24180,23941
24190,23968
24190,23982
24190,23986
24190,23986
24175,23985
24185,23974
24215,23979
24295,24001
24290,24062
24290,24070
24290,24074
24295,24074
24370,24076
24360,24130
24385,24132
24375,24152
24375,24149
24375,24148
24365,24145
24390,24139
24430,24155
24430,24187
24425,24193
24425,24191
24425,24191
24375,24190
24235,24153
24255,24050
24240,24046
24160,24030
24160,23972
24160,23963
24200,23960
24190,23984
24230,23983
24230,24014
24230,24018
24230,24020
24230,24020
24230,24020
24230,24019
24230,24019
24270,24019
24340,24048
24340,24103
24340,24113
24360,24117
24360,24133
24340,24133
24420,24118
24450,24175
24450,24205
24450,24211
24500,24214
24460,24251
24450,24224
24480,24214
24470,24234
24470,24229
24470,24228
24500,24230
24510,24251
24520,24261
24530,24271
24500,24280
24500,24260
24500,24256
24450,24255
24460,24218
24480,24220
24530,24235
24550,24273
24550,24295
24550,24300
24560,24300
24590,24307
