Giá thực tế,Giá dự đoán
24790,24546
24830,24548
24840,24559
24840,24572
24840,24582
24960,24589
25008,24622
25130,24665
25130,24728
25163,24780
25163,24823
25163,24849
25175,24861
25178,24869
25177,24874
25167,24877
25118,24876
25118,24862
25118,24849
25118,24839
25118,24832
25118,24830
25144,24829
25143,24836
25147,24842
25147,24847
25157,24851
25155,24855
25161,24858
25178,24861
25184,24867
25184,24875
25184,24880
25179,24883
25182,24883
25182,24884
25152,24883
25250,24876
25250,24892
25250,24911
25259,24926
25263,24937
25266,24945
25250,24950
25277,24948
25277,24952
25277,24957
25281,24960
25268,24963
25265,24962
25250,24959
25254,24953
25254,24948
25254,24946
25234,24944
25218,24939
25213,24930
25213,24922
25213,24915
25213,24912
25213,24910
25214,24909
25222,24910
25226,24912
25217,24915
25221,24915
25221,24916
25221,24916
25231,24916
25251,24919
25249,24926
25247,24932
25248,24936
25248,24938
25248,24939
25255,24939
25245,24941
25250,24940
25257,24940
25253,24942
25253,24943
25253,24943
25244,24943
25245,24941
25250,24939
25243,24939
25238,24938
25238,24935
25238,24933
25235,24932
25234,24930
25239,24929
25245,24929
25240,24932
25240,24932
25240,24933
25237,24933
25237,24932
25168,24931
25150,24913
25158,24892
25158,24877
25158,24868
25154,24863
25157,24861
25177,24862
25120,24867
25121,24858
25121,24848
25121,24840
25115,24835
25120,24831
25080,24830
25060,24821
25040,24806
25040,24789
25040,24776
24930,24768
24980,24737
24995,24721
24980,24717
24930,24714
24930,24700
24930,24688
24940,24680
24950,24676
24850,24677
24870,24656
24890,24640
24890,24633
24890,24631
24820,24632
24740,24616
24760,24581
24780,24553
24810,24541
24810,24544
24810,24552
24710,24560
24660,24541
24680,24505
24690,24479
24690,24466
24690,24461
24690,24461
24690,24463
24690,24464
24675,24464
24580,24461
24430,24433
24430,24369
24430,24312
24500,24272
24490,24267
24385,24273
24410,24255
24390,24242
24390,24227
24390,24215
24380,24208
24430,24203
24470,24213
24410,24233
24400,24237
24400,24232
24400,24225
24460,24219
24430,24230
24410,24236
24460,24235
24420,24244
24420,24243
24420,24239
24400,24235
24430,24228
24480,24229
24580,24245
24580,24286
24580,24323
24580,24348
24670,24363
24665,24392
24665,24414
24670,24429
24640,24439
24640,24437
24640,24432
24660,24426
24765,24428
24810,24458
25010,24498
24980,24581
24980,24645
24980,24685
25070,24706
25092,24735
25220,24764
25233,24815
25197,24864
25197,24889
25197,24899
25194,24901
25164,24899
25118,24888
25090,24868
25114,24844
25114,24831
25114,24825
25125,24824
25160,24827
25170,24840
25197,24853
25130,24870
25130,24866
25130,24858
25116,24850
25160,24840
25180,24844
25184,24856
25190,24869
25190,24879
25190,24886
25200,24889
25205,24892
25200,24896
25200,24898
25200,24899
25200,24899
25200,24899
25197,24899
25200,24898
25200,24898
25175,24898
25160,24892
25160,24883
25160,24874
25149,24869
25170,24863
25172,24865
25176,24868
25164,24872
25164,24872
25164,24871
25157,24870
25170,24867
25165,24868
25171,24869
25177,24871
25177,24874
25177,24876
25185,24878
25183,24881
25191,24883
25219,24886
25240,24895
25240,24909
25240,24920
25230,24927
25223,24928
25236,24926
25225,24926
25238,24924
25238,24925
25238,24927
25243,24929
25251,24931
25251,24935
25259,24938
25250,24942
25250,24943
25250,24943
25253,24942
25208,24942
25186,24931
25194,24915
25198,24904
25198,24898
25198,24896
25200,24896
25203,24897
25194,24899
25189,24898
25150,24895
25150,24883
25150,24872
25150,24864
25090,24859
24960,24842
24960,24795
24800,24752
24800,24682
24800,24625
24800,24587
24800,24568
24800,24560
24800,24557
24800,24559
24800,24559
24800,24559
25140,24559
25000,24643
24980,24693
25090,24715
25110,24750
25110,24781
25110,24802
25200,24811
25340,24842
25380,24902
25300,24961
25220,24987
25220,24975
25220,24955
25280,24935
25340,24936
25340,24959
25350,24984
25320,25005
25320,25010
25320,25008
25310,25005
25330,24999
25360,25000
25380,25010
25370,25024
25370,25034
25370,25039
25420,25042
25390,25054
25320,25059
25300,25043
25300,25021
25330,25003
25330,24998
25340,24999
25290,25005
25280,24999
25320,24988
25350,24987
25350,24997
25350,25008
25360,25017
25350,25025
25370,25027
25380,25032
25400,25038
25400,25048
25400,25057
25450,25062
25450,25077
25390,25091
25390,25085
25400,25076
25400,25070
25400,25067
25380,25065
25460,25061
25460,25076
25620,25092
25600,25143
25600,25184
25600,25212
25600,25227
25780,25233
25822,25277
25610,25329
25560,25320
25560,25285
25560,25249
25640,25223
25650,25224
25650,25239
25700,25257
25760,25280
25760,25311
25760,25336
25700,25352
25755,25347
25781,25349
25814,25359
25835,25375
