Giá thực tế,Giá dự đoán
24790,24693
24830,24570
24830,24691
24840,24568
24840,24721
24840,24595
24840,24735
24840,24607
24840,24740
24960,24611
24960,24742
25008,24613
25008,24840
25130,24700
25130,24904
25130,24757
25130,25017
25163,24857
25163,25048
25163,24883
25163,25085
25163,24914
25163,25092
25175,24917
25175,25091
25178,24914
25178,25095
25177,24917
25177,25095
25167,24915
25167,25092
25118,24912
25118,25082
25118,24901
25118,25039
25118,24863
25118,25028
25118,24853
25118,25031
25118,24856
25118,25033
25118,24859
25118,25041
25144,24867
25144,25043
25143,24868
25143,25066
25147,24890
25147,25072
25147,24895
25147,25079
25157,24900
25157,25081
25155,24902
25155,25090
25161,24910
25161,25089
25178,24909
25178,25093
25184,24912
25184,25104
25184,24922
25184,25112
25184,24928
25184,25115
25179,24930
25179,25116
25182,24930
25182,25112
25182,24927
25182,25113
25152,24927
25152,25114
25250,24928
25250,25089
25250,24907
25250,25162
25250,24970
25250,25179
25259,24985
25259,25188
25263,24992
25263,25198
25266,25000
25266,25205
25250,25004
25250,25209
25277,25007
25277,25196
25277,24996
25277,25213
25277,25011
25277,25216
25281,25013
25281,25217
25268,25013
25268,25221
25265,25016
25265,25211
25250,25007
25250,25205
25254,25001
25254,25197
25254,24995
25254,25196
25254,24995
25254,25196
25234,24994
25234,25196
25218,24995
25218,25180
25213,24982
25213,25164
25213,24968
25213,25155
25213,24960
25213,25153
25213,24960
25213,25153
25213,24960
25213,25153
25214,24960
25214,25154
25222,24961
25222,25154
25226,24962
25226,25161
25217,24968
25217,25166
25221,24972
25221,25161
25221,24967
25221,25163
25221,24969
25221,25163
25231,24969
25231,25161
25251,24967
25251,25168
25249,24973
25249,25186
25247,24988
25247,25189
25248,24991
25248,25189
25248,24991
25248,25190
25248,24991
25248,25190
25255,24991
25255,25189
25245,24990
25245,25195
25250,24995
25250,25188
25257,24989
25257,25190
25253,24990
25253,25196
25253,24996
25253,25194
25253,24994
25253,25194
25244,24994
25244,25195
25245,24995
25245,25189
25250,24990
25250,25188
25243,24988
25243,25191
25238,24991
25238,25186
25238,24987
25238,25181
25238,24983
25238,25180
25235,24982
25235,25180
25234,24982
25234,25177
25239,24979
25239,25176
25245,24979
25245,25180
25240,24983
25240,25185
25240,24987
25240,25183
25240,24985
25240,25183
25237,24985
25237,25182
25237,24984
25237,25180
25168,24982
25168,25179
25150,24982
25150,25123
25158,24933
25158,25094
25158,24908
25158,25090
25158,24906
25158,25088
25154,24905
25154,25088
25157,24906
25157,25087
25177,24905
25177,25090
25120,24909
25120,25109
25121,24925
25121,25068
25121,24890
25121,25060
25121,24883
25121,25056
25115,24880
25115,25054
25120,24878
25120,25048
25080,24873
25080,25047
25060,24872
25060,25015
25040,24845
25040,24993
25040,24826
25040,24971
25040,24806
25040,24964
24930,24801
24930,24962
24980,24800
24980,24877
24995,24725
24995,24896
24980,24742
24980,24906
24930,24752
24930,24901
24930,24748
24930,24863
24930,24715
24930,24855
24940,24708
24940,24851
24950,24705
24950,24858
24850,24712
24850,24866
24870,24719
24870,24792
24890,24653
24890,24789
24890,24650
24890,24800
24890,24661
24890,24803
24820,24664
24820,24800
24740,24661
24740,24752
24760,24618
24760,24679
24780,24553
24780,24672
24810,24547
24810,24681
24810,24555
24810,24708
24810,24580
24810,24718
24710,24590
24710,24724
24660,24595
24660,24652
24680,24530
24680,24591
24690,24475
24690,24590
24690,24474
24690,24596
24690,24480
24690,24598
24690,24482
24690,24600
24690,24484
24690,24598
24690,24483
24690,24597
24675,24482
24675,24601
24580,24485
24580,24592
24430,24478
24430,24520
24430,24412
24430,24390
24430,24293
24430,24351
24500,24257
24500,24331
24490,24239
24490,24378
24385,24282
24385,24389
24410,24292
24410,24323
24390,24231
24390,24328
24390,24235
24390,24314
24390,24222
24390,24312
24380,24221
24380,24312
24430,24221
24430,24305
24470,24216
24470,24339
24410,24247
24410,24373
24400,24279
24400,24335
24400,24245
24400,24322
24400,24233
24400,24317
24460,24229
24460,24317
24430,24228
24430,24358
24410,24266
24410,24342
24460,24253
24460,24327
24420,24239
24420,24359
24420,24268
24420,24337
24420,24248
24420,24332
24400,24243
24400,24330
24430,24241
24430,24316
24480,24228
24480,24335
24580,24245
24580,24373
24580,24281
24580,24459
24580,24360
24580,24484
24580,24383
24580,24494
24670,24393
24670,24498
24665,24396
24665,24562
24665,24455
24665,24572
24670,24464
24670,24575
24640,24467
24640,24575
24640,24467
24640,24550
24640,24444
24640,24541
24660,24435
24660,24536
24765,24430
24765,24550
24810,24442
24810,24635
25010,24519
25010,24696
24980,24574
