Giá thực tế,Giá dự đoán
25010,24761
24980,24860
24980,24933
24980,24976
25070,24998
25092,25033
25220,25068
25233,25130
25197,25187
25197,25214
25197,25223
25194,25224
25164,25222
25118,25209
25090,25185
25114,25157
25114,25143
25114,25137
25125,25135
25160,25140
25170,25155
25197,25171
25130,25190
25130,25185
25130,25174
25116,25164
25160,25153
25180,25160
25184,25175
25190,25189
25190,25201
25190,25208
25200,25212
25205,25216
25200,25220
25200,25223
25200,25223
25200,25223
25200,25223
25197,25223
25200,25222
25200,25222
25175,25222
25160,25215
25160,25203
25160,25194
25149,25188
25170,25181
25172,25183
25176,25188
25164,25192
25164,25192
25164,25191
25157,25189
25170,25186
25165,25187
25171,25188
25177,25190
25177,25194
25177,25197
25185,25199
25183,25202
25191,25204
25219,25208
25240,25219
25240,25236
25240,25249
25230,25257
25223,25258
25236,25254
25225,25254
25238,25252
25238,25254
25238,25257
25243,25259
25251,25261
25251,25266
25259,25269
25250,25274
25250,25275
25250,25274
25253,25273
25208,25274
25186,25260
25194,25241
25198,25228
25198,25222
25198,25220
25200,25220
25203,25221
25194,25223
25189,25222
25150,25218
25150,25203
25150,25190
25150,25181
25090,25176
24960,25155
24960,25097
24800,25046
24800,24963
24800,24897
24800,24856
24800,24836
24800,24828
24800,24825
24800,24826
24800,24826
24800,24826
25140,24826
25000,24932
24980,24989
25090,25011
25110,25050
25110,25087
25110,25111
25200,25122
25340,25159
25380,25232
25300,25303
25220,25329
25220,25311
25220,25285
25280,25263
25340,25267
25340,25298
25350,25327
25320,25349
25320,25353
25320,25351
25310,25347
25330,25340
25360,25342
25380,25354
25370,25372
25370,25383
25370,25389
25420,25391
25390,25407
25320,25412
25300,25391
25300,25365
25330,25344
25330,25340
25340,25342
25290,25349
25280,25340
25320,25326
25350,25327
25350,25340
25350,25353
25360,25363
25350,25372
25370,25374
25380,25379
25400,25387
25400,25400
25400,25410
25450,25416
25450,25434
25390,25450
25390,25442
25400,25430
25400,25424
25400,25421
25380,25419
25460,25413
25460,25433
25620,25452
25600,25515
25600,25564
25600,25595
25600,25611
25780,25617
25822,25673
25610,25737
25560,25721
25560,25674
25560,25631
25640,25602
25650,25608
25650,25628
25700,25647
25760,25674
25760,25713
25760,25742
25700,25760
25755,25751
25781,25755
25814,25767
25835,25789
